INCIDENT INFO,Longitude,Latitude,DewPoint,RelativeHumidity,WindDirection,WindSpeed,Visibility,Pressure,Weather,cluster_label
McKenzie Lake Boulevard and Mt McKenzie Drive SE,-113.9814758,50.91645854,-1.3,38,28,28,64.4,88.62,Mostly Cloudy ,6
McIvor Boulevard and 130 Avenue SE,-113.9352694,50.92835686,-9.6,48,22,14,24.1,90.07,Mainly Clear ,6
114 Avenue and 52 Street SE,-113.9586708,50.95059537,-7.2,35,14,3,56.3,88.11,Mostly Cloudy ,8
114 Avenue and 52 Street SE,-113.9586708,50.95059537,-7.2,35,14,3,56.3,88.11,Mostly Cloudy ,8
114 Avenue and 52 Street SE,-113.9586708,50.95059537,-7.2,35,14,3,56.3,88.11,Mostly Cloudy ,8
114 Avenue and 52 Street SE,-113.9586708,50.95059537,-7.2,35,14,3,56.3,88.11,Mostly Cloudy ,8
114 Avenue and 52 Street SE,-113.9586708,50.95059537,-7.2,35,14,3,56.3,88.11,Mostly Cloudy ,8
114 Avenue and 52 Street SE,-113.9586708,50.95059537,-7.2,35,14,3,56.3,88.11,Mostly Cloudy ,8
114 Avenue and 52 Street SE,-113.9586708,50.95059537,-7.2,35,14,3,56.3,88.11,Mostly Cloudy ,8
114 Avenue and 52 Street SE,-113.9581838,50.95049244,6.3,42,4,11,48.3,89.05,Mainly Clear ,8
114 Avenue and 52 Street SE,-113.9581838,50.95049244,6.3,42,4,11,48.3,89.05,Mainly Clear ,8
114 Avenue and 52 Street SE,-113.9581838,50.95049244,6.3,42,4,11,48.3,89.05,Mainly Clear ,8
114 Avenue and 52 Street SE,-113.9581838,50.95049244,6.3,42,4,11,48.3,89.05,Mainly Clear ,8
114 Avenue and 52 Street SE,-113.9581838,50.95049244,6.3,42,4,11,48.3,89.05,Mainly Clear ,8
114 Avenue and 52 Street SE,-113.9581838,50.95049244,6.3,42,4,11,48.3,89.05,Mainly Clear ,8
114 Avenue and 52 Street SE,-113.9581838,50.95049244,6.3,42,4,11,48.3,89.05,Mainly Clear ,8
114 Avenue and 52 Street SE,-113.9586708,50.95059537,-5.1,37,28,8,24.1,87.26,Mostly Cloudy ,8
114 Avenue and 52 Street SE,-113.9586708,50.95059537,-5.1,37,28,8,24.1,87.26,Mostly Cloudy ,8
114 Avenue and 52 Street SE,-113.9586708,50.95059537,-5.1,37,28,8,24.1,87.26,Mostly Cloudy ,8
114 Avenue and 52 Street SE,-113.9586708,50.95059537,-5.1,37,28,8,24.1,87.26,Mostly Cloudy ,8
114 Avenue and 52 Street SE,-113.9586708,50.95059537,-5.1,37,28,8,24.1,87.26,Mostly Cloudy ,8
114 Avenue and 52 Street SE,-113.9586708,50.95059537,-5.1,37,28,8,24.1,87.26,Mostly Cloudy ,8
114 Avenue and 52 Street SE,-113.9586708,50.95059537,-5.1,37,28,8,24.1,87.26,Mostly Cloudy ,8
114 Avenue and 52 Street SE,-113.9586708,50.95059537,-8.7,58,17,12,24.1,88.39,Mostly Cloudy ,8
114 Avenue and 52 Street SE,-113.9586708,50.95059537,-8.7,58,17,12,24.1,88.39,Mostly Cloudy ,8
114 Avenue and 52 Street SE,-113.9586708,50.95059537,-8.7,58,17,12,24.1,88.39,Mostly Cloudy ,8
114 Avenue and 52 Street SE,-113.9586708,50.95059537,-8.7,58,17,12,24.1,88.39,Mostly Cloudy ,8
114 Avenue and 52 Street SE,-113.9586708,50.95059537,-8.7,58,17,12,24.1,88.39,Mostly Cloudy ,8
114 Avenue and 52 Street SE,-113.9586708,50.95059537,-8.7,58,17,12,24.1,88.39,Mostly Cloudy ,8
114 Avenue and 52 Street SE,-113.9586708,50.95059537,-8.7,58,17,12,24.1,88.39,Mostly Cloudy ,8
114 Avenue and 52 Street SE,-113.9586708,50.95059537,-0.6,60,0,1,64.4,87.37,Mainly Clear ,8
114 Avenue and 52 Street SE,-113.9586708,50.95059537,-0.6,60,0,1,64.4,87.37,Mainly Clear ,8
114 Avenue and 52 Street SE,-113.9586708,50.95059537,-0.6,60,0,1,64.4,87.37,Mainly Clear ,8
114 Avenue and 52 Street SE,-113.9586708,50.95059537,-0.6,60,0,1,64.4,87.37,Mainly Clear ,8
114 Avenue and 52 Street SE,-113.9586708,50.95059537,-0.6,60,0,1,64.4,87.37,Mainly Clear ,8
114 Avenue and 52 Street SE,-113.9586708,50.95059537,-0.6,60,0,1,64.4,87.37,Mainly Clear ,8
114 Avenue and 52 Street SE,-113.9586708,50.95059537,-0.6,60,0,1,64.4,87.37,Mainly Clear ,8
114 Avenue and 52 Street SE,-113.958466,50.95036039,-0.6,60,0,1,64.4,87.37,Mainly Clear ,8
114 Avenue and 52 Street SE,-113.958466,50.95036039,-0.6,60,0,1,64.4,87.37,Mainly Clear ,8
114 Avenue and 52 Street SE,-113.958466,50.95036039,-0.6,60,0,1,64.4,87.37,Mainly Clear ,8
114 Avenue and 52 Street SE,-113.958466,50.95036039,-0.6,60,0,1,64.4,87.37,Mainly Clear ,8
114 Avenue and 52 Street SE,-113.958466,50.95036039,-0.6,60,0,1,64.4,87.37,Mainly Clear ,8
