INCIDENT INFO,Longitude,Latitude,DewPoint,RelativeHumidity,WindDirection,WindSpeed,Visibility,Pressure,Weather,cluster_label
Country Hills Boulevard and Sarcee Trail NW,-114.16431,51.13766746,-9.8,80,36,2,24.1,87.97,Mostly Cloudy ,4
Country Hills Boulevard and Sarcee Trail NW,-114.1649241,51.13761293,-5.1,94,10,18,2.8,88.05, ,4
Country Hills Boulevard and Sarcee Trail NW,-114.1649241,51.13761293,-5.1,94,10,18,2.8,88.05, ,4
Country Hills Boulevard and Sarcee Trail NW,-114.1649241,51.13761293,-5.1,94,10,18,2.8,88.05, ,4
Country Hills Boulevard and Sarcee Trail NW,-114.1649241,51.13761293,-5.7,70,4,17,19.3,88.35,Mainly Clear ,4
Country Hills Boulevard and Sarcee Trail NW,-114.1649241,51.13761293,-5.7,70,4,17,19.3,88.35,Mainly Clear ,4
Country Hills Boulevard and Sarcee Trail NW,-114.1649241,51.13761293,-5.7,70,4,17,19.3,88.35,Mainly Clear ,4
Eastbound 64 Avenue and Centre Street NW,-114.0633976,51.11054533,-7.9,53,23,5,64.4,87.82,Mostly Cloudy ,3
Edmonton Trail and Meredith Road NE,-114.0502792,51.05190691,-12.5,62,21,7,64.4,88.88,Cloudy ,5
Edmonton Trail and Meredith Road NE,-114.0502792,51.05190691,-12.5,62,21,7,64.4,88.88,Cloudy ,5
Edmonton Trail and Meredith Road NE,-114.0502792,51.05190691,-17,83,14,17,1.2,89.14, ,5
Edmonton Trail and Meredith Road NE,-114.0502792,51.05190691,-17,83,14,17,1.2,89.14, ,5
Northbound Sarcee Trail after Bow Trail SW,-114.1641806,51.05370492,-12.5,62,21,7,64.4,88.88,Cloudy ,4
Northbound Sarcee Trail after Bow Trail SW,-114.1641806,51.05370492,-12.5,62,21,7,64.4,88.88,Cloudy ,4
Northbound Sarcee Trail after Bow Trail SW,-114.1641806,51.05370492,-12.5,62,21,7,64.4,88.88,Cloudy ,4
Northbound Sarcee Trail after Bow Trail SW,-114.1641806,51.05370492,-12.5,62,21,7,64.4,88.88,Cloudy ,4
Northbound Sarcee Trail after Bow Trail SW,-114.1641806,51.05370492,-12.5,62,21,7,64.4,88.88,Cloudy ,4
Northbound Sarcee Trail after Bow Trail SW,-114.1641264,51.05620405,4.6,40,1,15,48.3,89.67,Clear ,4
Northbound Sarcee Trail after Bow Trail SW,-114.1641264,51.05620405,4.6,40,1,15,48.3,89.67,Clear ,4
Northbound Sarcee Trail after Bow Trail SW,-114.1641264,51.05620405,4.6,40,1,15,48.3,89.67,Clear ,4
Northbound Sarcee Trail after Bow Trail SW,-114.1641264,51.05620405,4.6,40,1,15,48.3,89.67,Clear ,4
Northbound Sarcee Trail after Bow Trail SW,-114.1641264,51.05620405,4.6,40,1,15,48.3,89.67,Clear ,4
Northbound Sarcee Trail after Bow Trail SW,-114.1654769,51.05336966,4.6,40,1,15,48.3,89.67,Clear ,4
Northbound Sarcee Trail after Bow Trail SW,-114.1654769,51.05336966,4.6,40,1,15,48.3,89.67,Clear ,4
Northbound Sarcee Trail after Bow Trail SW,-114.1654769,51.05336966,4.6,40,1,15,48.3,89.67,Clear ,4
Northbound Sarcee Trail after Bow Trail SW,-114.1654769,51.05336966,4.6,40,1,15,48.3,89.67,Clear ,4
Northbound Sarcee Trail after Bow Trail SW,-114.1654769,51.05336966,4.6,40,1,15,48.3,89.67,Clear ,4
Northbound Sarcee Trail after Bow Trail SW,-114.1640784,51.0536433,5.3,31,36,7,48.3,88.38,Mostly Cloudy ,4
Northbound Sarcee Trail after Bow Trail SW,-114.1640784,51.0536433,5.3,31,36,7,48.3,88.38,Mostly Cloudy ,4
Northbound Sarcee Trail after Bow Trail SW,-114.1640784,51.0536433,5.3,31,36,7,48.3,88.38,Mostly Cloudy ,4
Northbound Sarcee Trail after Bow Trail SW,-114.1640784,51.0536433,5.3,31,36,7,48.3,88.38,Mostly Cloudy ,4
Northbound Sarcee Trail after Bow Trail SW,-114.1640784,51.0536433,5.3,31,36,7,48.3,88.38,Mostly Cloudy ,4
Northbound Sarcee Trail after Bow Trail SW,-114.1645321,51.05979595,-10.6,86,2,32,1.6,89.68, ,4
Northbound Sarcee Trail after Bow Trail SW,-114.1645321,51.05979595,-10.6,86,2,32,1.6,89.68, ,4
Northbound Sarcee Trail after Bow Trail SW,-114.1645321,51.05979595,-10.6,86,2,32,1.6,89.68, ,4
Northbound Sarcee Trail after Bow Trail SW,-114.1645321,51.05979595,-10.6,86,2,32,1.6,89.68, ,4
Northbound Sarcee Trail after Bow Trail SW,-114.1645321,51.05979595,-10.6,86,2,32,1.6,89.68, ,4
Westbound John Laurie Boulevard west of Shaganappi Trail NW,-114.1414488,51.10989111,-12.5,62,21,7,64.4,88.88,Cloudy ,4
5 Street and 9 Avenue SW,-114.0740094,51.04490784,-10.9,68,22,9,16.1,88.9,Mostly Cloudy ,5
Northbound Crowchild Trail and Memorial Drive NW,-114.1148374,51.04699032,-11,90,22,8,0.2,89.12, ,5
Eastbound 64 Avenue and Deerfoot Trail NE,-114.0465756,51.11054119,-8.9,92,19,10,1.6,89.11, ,3
Eastbound 64 Avenue and Deerfoot Trail NE,-114.0465756,51.11054119,-8.9,92,19,10,1.6,89.11, ,3
Eastbound 64 Avenue and Deerfoot Trail NE,-114.0465756,51.11054119,-8.9,92,19,10,1.6,89.11, ,3
Eastbound 64 Avenue and Deerfoot Trail NE,-114.0479376,51.11051223,-0.7,53,17,12,64.4,87.72,Mostly Cloudy ,3
Eastbound 64 Avenue and Deerfoot Trail NE,-114.0479376,51.11051223,-0.7,53,17,12,64.4,87.72,Mostly Cloudy ,3
Eastbound 64 Avenue and Deerfoot Trail NE,-114.0479376,51.11051223,-0.7,53,17,12,64.4,87.72,Mostly Cloudy ,3
Eastbound 64 Avenue and Deerfoot Trail NE,-114.0502878,51.11049866,1.6,79,6,10,12.9,88.4,"Thunderstorms,Rain Showers ",3
Eastbound 64 Avenue and Deerfoot Trail NE,-114.0502878,51.11049866,1.6,79,6,10,12.9,88.4,"Thunderstorms,Rain Showers ",3
Eastbound 64 Avenue and Deerfoot Trail NE,-114.0502878,51.11049866,1.6,79,6,10,12.9,88.4,"Thunderstorms,Rain Showers ",3
17 Avenue and 19 Street SW,-114.106308,51.03782796,-8.9,92,19,10,1.6,89.11, ,5
17 Avenue and 19 Street SW,-114.106308,51.03782796,-8.9,92,19,10,1.6,89.11, ,5
17 Avenue and 19 Street SW,-114.106308,51.03782796,-11.3,37,27,23,64.4,87.76,Mostly Cloudy ,5
17 Avenue and 19 Street SW,-114.106308,51.03782796,-11.3,37,27,23,64.4,87.76,Mostly Cloudy ,5
Southbound Nose Hill Drive and Crowchild Trail NW,-114.2032408,51.11968378,-11.6,88,17,10,6.4,89.12, ,4
Southbound Nose Hill Drive and Crowchild Trail NW,-114.2032408,51.11968378,-11.6,88,17,10,6.4,89.12, ,4
Southbound Nose Hill Drive and Crowchild Trail NW,-114.2032408,51.11968378,-11.6,88,17,10,6.4,89.12, ,4
Southbound Nose Hill Drive and Crowchild Trail NW,-114.2032408,51.11968378,-11.6,88,17,10,6.4,89.12, ,4
Southbound Nose Hill Drive and Crowchild Trail NW,-114.20145,51.12137235,-9.7,90,10,10,1.6,87.56, ,4
Southbound Nose Hill Drive and Crowchild Trail NW,-114.20145,51.12137235,-9.7,90,10,10,1.6,87.56, ,4
Southbound Nose Hill Drive and Crowchild Trail NW,-114.20145,51.12137235,-9.7,90,10,10,1.6,87.56, ,4
Southbound Nose Hill Drive and Crowchild Trail NW,-114.20145,51.12137235,-9.7,90,10,10,1.6,87.56, ,4
Southbound Nose Hill Drive and Crowchild Trail NW,-114.2013946,51.12131842,-3.5,90,3,23,2.4,89.86, ,4
Southbound Nose Hill Drive and Crowchild Trail NW,-114.2013946,51.12131842,-3.5,90,3,23,2.4,89.86, ,4
Southbound Nose Hill Drive and Crowchild Trail NW,-114.2013946,51.12131842,-3.5,90,3,23,2.4,89.86, ,4
Southbound Nose Hill Drive and Crowchild Trail NW,-114.2013946,51.12131842,-3.5,90,3,23,2.4,89.86, ,4
Southbound Nose Hill Drive and Crowchild Trail NW,-114.2032408,51.11968378,-10.2,34,17,23,64.4,88.12,Mainly Clear ,4
Southbound Nose Hill Drive and Crowchild Trail NW,-114.2032408,51.11968378,-10.2,34,17,23,64.4,88.12,Mainly Clear ,4
Southbound Nose Hill Drive and Crowchild Trail NW,-114.2032408,51.11968378,-10.2,34,17,23,64.4,88.12,Mainly Clear ,4
Southbound Nose Hill Drive and Crowchild Trail NW,-114.2032408,51.11968378,-10.2,34,17,23,64.4,88.12,Mainly Clear ,4
Sunridge Wy and Barlow Trail NE,-114.0018139,51.07346451,-10.4,88,17,12,6.4,89.16, ,3
Deerfoot Trail and Stoney Trail NE,-114.0153985,51.17615173,-9.5,90,15,8,4.8,89.11, ,3
Deerfoot Trail and Stoney Trail NE,-114.0153985,51.17615173,-9.5,90,15,8,4.8,89.11, ,3
Deerfoot Trail and Stoney Trail NE,-114.0153985,51.17615173,-9.5,90,15,8,4.8,89.11, ,3
Deerfoot Trail and Stoney Trail NE,-114.0153985,51.17615173,-9.5,90,15,8,4.8,89.11, ,3
Deerfoot Trail and Stoney Trail NE,-114.0153985,51.17615173,-9.5,90,15,8,4.8,89.11, ,3
Deerfoot Trail and Stoney Trail NE,-114.0153985,51.17615173,-9.5,90,15,8,4.8,89.11, ,3
Deerfoot Trail and Stoney Trail NE,-114.0153985,51.17615173,-9.5,90,15,8,4.8,89.11, ,3
Deerfoot Trail and Stoney Trail NE,-114.0153985,51.17615173,-9.5,90,15,8,4.8,89.11, ,3
Deerfoot Trail and Stoney Trail NE,-114.0015123,51.17952398,-15.9,84,33,11,6.4,90.26,"Snow Grains, ",3
Deerfoot Trail and Stoney Trail NE,-114.0015123,51.17952398,-15.9,84,33,11,6.4,90.26,"Snow Grains, ",3
Deerfoot Trail and Stoney Trail NE,-114.0015123,51.17952398,-15.9,84,33,11,6.4,90.26,"Snow Grains, ",3
Deerfoot Trail and Stoney Trail NE,-114.0015123,51.17952398,-15.9,84,33,11,6.4,90.26,"Snow Grains, ",3
Deerfoot Trail and Stoney Trail NE,-114.0015123,51.17952398,-15.9,84,33,11,6.4,90.26,"Snow Grains, ",3
Deerfoot Trail and Stoney Trail NE,-114.0015123,51.17952398,-15.9,84,33,11,6.4,90.26,"Snow Grains, ",3
Deerfoot Trail and Stoney Trail NE,-114.0015123,51.17952398,-15.9,84,33,11,6.4,90.26,"Snow Grains, ",3
Deerfoot Trail and Stoney Trail NE,-114.0015123,51.17952398,-15.9,84,33,11,6.4,90.26,"Snow Grains, ",3
Deerfoot Trail and Stoney Trail NE,-114.0013683,51.18122139,11.8,46,15,24,48.3,88.75,26,3
Deerfoot Trail and Stoney Trail NE,-114.0013683,51.18122139,11.8,46,15,24,48.3,88.75,26,3
Deerfoot Trail and Stoney Trail NE,-114.0013683,51.18122139,11.8,46,15,24,48.3,88.75,26,3
Deerfoot Trail and Stoney Trail NE,-114.0013683,51.18122139,11.8,46,15,24,48.3,88.75,26,3
Deerfoot Trail and Stoney Trail NE,-114.0013683,51.18122139,11.8,46,15,24,48.3,88.75,26,3
